,questionable_domain,user_friends_count,user_followers_count,user_favourites_count,favorite_count,retweet_count,word_count,contains_gatewaypundit,mentions_count,hashtags_count,Caps_count,contains_bad_url,contains_good_url,contains_bad_mentions,sentiment_analysis,angry_level,fear_level,happy_level,sad_level,surprise_level
10978,0,26590,29452,30182,2,1,37,0,0,2,1,0,0,0,-0.6908,0.0,0.25,0.0,0.75,0.0
9930,0,169,68,3610,1,0,37,0,0,0,0,0,0,0,0.6312,0.12,0.5,0.12,0.12,0.12
10223,0,2906,2423,11516,0,0,22,0,12,0,2,0,0,0,0.0,0.5,0.25,0.0,0.0,0.25
16030,1,794,348,36813,0,0,25,0,4,0,1,1,0,0,-0.2249,0.0,0.33,0.0,0.67,0.0
5174,0,14356,15237,112199,3,0,38,0,2,0,1,0,1,0,-0.8779,0.0,0.0,0.0,0.67,0.33
4738,1,764,368,4928,0,0,27,1,1,0,2,0,0,1,0.0,0.0,1.0,0.0,0.0,0.0
15927,0,24,1126,3384,1,0,30,0,1,0,1,0,0,0,-0.7096,0.0,0.5,0.0,0.0,0.5
5761,0,4902,12593,10320,7,1,45,0,1,0,1,0,0,0,-0.3182,0.0,0.33,0.0,0.17,0.5
7337,0,4186,2600,30183,1,0,38,0,0,0,1,0,0,0,-0.5423,0.0,0.0,0.0,0.5,0.5
17870,0,2347,1412,52906,0,0,31,0,5,0,1,0,0,0,-0.7506,0.0,0.33,0.33,0.0,0.33
7623,0,963,289782,2014,4,10,21,0,0,0,1,0,1,0,-0.2732,0.0,0.75,0.0,0.25,0.0
385,0,1658,1192,1680,1,0,24,0,1,4,1,0,0,0,-0.5859,0.0,0.0,0.0,0.0,0.0
7302,0,0,14,221,0,0,47,0,2,0,3,0,0,0,-0.7096,0.0,0.25,0.0,0.0,0.75
3594,0,4995,3398,62000,0,0,52,0,2,0,0,0,1,0,0.25,0.0,0.12,0.25,0.12,0.5
15972,1,18391,19818,28484,0,0,38,0,0,0,0,0,0,0,-0.818,0.0,0.67,0.0,0.0,0.33
5861,0,4923,4886,31645,0,0,35,0,3,2,2,0,0,0,-0.5423,0.25,0.0,0.0,0.5,0.25
8660,1,16641,16591,38659,1,1,33,0,1,0,1,0,0,0,0.8402,0.0,0.33,0.17,0.17,0.33
9742,1,9422,30850,61209,114,59,20,1,1,0,1,0,0,1,-0.6597,0.0,0.0,0.0,0.0,1.0
5140,0,18,8,2441,0,0,45,0,1,0,0,0,0,0,-0.2091,0.0,0.5,0.0,0.5,0.0
1650,0,284,18,127,0,0,29,0,1,3,0,0,0,0,-0.0828,0.0,0.67,0.0,0.33,0.0
9349,0,8,21,1265,0,0,22,0,4,0,2,0,0,0,-0.6808,0.33,0.0,0.0,0.33,0.33
6422,0,439,10650,37,0,0,21,0,0,0,0,0,0,0,-0.6249,0.25,0.0,0.25,0.0,0.5
11771,0,1815,1830,160246,0,0,21,0,0,0,0,0,0,0,-0.7096,0.0,0.25,0.0,0.5,0.25
14717,0,14932,13552,89600,0,0,20,0,0,1,2,0,0,0,-0.8957,0.0,0.0,0.0,0.0,1.0
14890,0,3642,2270,17526,1,1,46,0,0,0,0,0,0,0,-0.91,0.0,0.38,0.0,0.38,0.25
435,0,4550,6099,2369,7,1,30,0,1,0,0,0,0,0,-0.9451,0.0,0.25,0.0,0.25,0.5
17334,0,158,43,3572,0,0,27,0,1,0,1,0,0,0,-0.8481,0.25,0.5,0.0,0.25,0.0
13204,1,937,704,3359,0,0,22,0,0,0,5,0,0,0,-0.7184,0.0,0.0,0.0,0.33,0.67
15187,0,1960,267,22766,0,0,49,0,1,0,0,0,0,0,-0.652,0.25,0.25,0.25,0.0,0.25
12357,1,966,788,30754,1,1,43,0,25,0,2,1,0,1,0.4404,0.0,0.33,0.0,0.33,0.33
2445,0,1033,662,15589,1,0,38,0,0,4,0,0,0,0,-0.4767,0.0,0.4,0.0,0.2,0.4
15694,1,978,798,31691,2,1,57,0,25,0,5,1,0,1,-0.7269,0.0,0.75,0.0,0.0,0.25
8404,0,716,209,2231,0,0,26,0,3,0,1,0,0,0,0.8658,0.0,0.0,1.0,0.0,0.0
2545,0,6485,5970,20575,1,1,24,0,0,0,0,0,0,0,-0.7425,0.0,0.2,0.2,0.2,0.4
2562,0,2233,2568,2186,1,2,23,0,4,0,0,0,0,0,-0.5106,0.33,0.0,0.0,0.33,0.33
398,0,3855,1722,29509,0,0,43,0,1,2,0,0,0,0,0.4404,0.0,0.0,0.0,0.4,0.6
1805,0,728,227,28276,0,0,22,0,5,0,1,0,0,0,-0.4767,0.0,0.0,0.0,1.0,0.0
9249,0,4991,1796,58146,0,0,45,0,1,2,5,0,0,0,-0.5574,0.0,0.83,0.0,0.0,0.17
11287,0,4983,1312,18956,0,0,21,0,0,0,1,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0
10522,0,743,1989,599,1,0,24,0,0,0,0,0,0,0,0.743,0.0,0.2,0.4,0.0,0.4
13135,1,2011,2098,1682,1,0,24,1,1,0,5,0,0,1,-0.7184,0.0,0.0,0.0,0.33,0.67
4338,0,1679,882,17,0,0,39,0,1,0,1,0,0,0,0.7184,0.0,0.0,0.29,0.29,0.43
15220,0,700,2244,2461,0,0,45,0,1,0,2,0,1,0,-0.3612,0.0,0.43,0.0,0.14,0.43
1475,0,530,173,41088,0,0,34,0,0,4,4,0,1,0,-0.3612,0.0,0.67,0.0,0.17,0.17
11100,0,4953,3493,68804,0,0,27,0,1,0,1,0,1,0,-0.9136,0.33,0.33,0.0,0.0,0.33
16762,0,84,9,1920,1,0,26,0,2,0,0,0,1,0,-0.3612,0.0,0.5,0.0,0.5,0.0
121,0,430,927,452830,0,0,37,0,2,0,1,0,0,0,-0.9623,0.0,0.29,0.0,0.14,0.57
13153,0,4998,3411,70124,1,1,24,0,0,0,16,0,0,0,-0.34,0.0,0.0,0.0,0.33,0.67
11858,0,5519,5455,4321,1,1,38,0,0,0,1,0,0,0,0.0,0.0,0.0,0.2,0.4,0.4
16499,0,247,1460,70912,0,0,35,0,2,0,2,0,1,0,-0.5574,0.0,0.25,0.25,0.25,0.25
9452,0,2876,14814,9508,15,15,27,0,0,0,0,0,0,0,-0.5267,0.0,0.33,0.33,0.33,0.0
9646,0,283,140,2449,0,0,34,0,1,0,1,0,0,0,-0.2654,0.0,0.25,0.0,0.5,0.25
3778,1,633,310,1175,0,0,20,1,1,0,1,0,0,1,0.0,0.0,0.67,0.0,0.0,0.33
16443,0,960,339,72584,0,0,46,0,3,0,2,0,1,0,-0.8176,0.0,0.5,0.17,0.33,0.0
13883,0,1748,162,6410,0,0,38,0,0,0,0,0,0,0,-0.765,0.0,0.14,0.0,0.57,0.29
8509,0,4998,2357,20683,1,0,27,0,4,7,9,0,0,0,-0.7096,0.0,0.0,0.0,1.0,0.0
8124,1,950,775,30754,1,1,33,0,24,0,3,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0
12562,0,76,4569,322,0,0,33,0,1,2,1,0,0,0,-0.3612,0.0,0.8,0.0,0.0,0.2
3668,0,2337,2432,49623,11,5,28,0,0,0,0,0,0,0,0.5994,0.0,0.0,0.5,0.0,0.5
9163,0,455,316,3175,0,0,33,0,0,1,1,0,0,0,-0.6908,0.0,0.33,0.0,0.33,0.33
16400,0,1159,1088,18936,5,3,41,0,1,3,3,0,0,0,-0.9607,0.0,0.38,0.0,0.38,0.25
6669,0,879,931,119677,0,0,48,0,2,1,4,0,0,0,-0.7579,0.0,0.25,0.12,0.38,0.25
280,0,2143,496,4497,0,0,32,0,2,3,1,0,0,0,0.2023,0.0,0.0,0.0,0.0,1.0
9378,0,222,249,2088,0,0,37,0,3,3,3,0,0,0,0.1134,0.0,0.5,0.0,0.5,0.0
17788,0,330,4818,8268,6,6,40,0,0,1,1,0,0,0,-0.7096,0.14,0.43,0.0,0.14,0.29
16905,0,45,5,840,0,0,40,0,1,0,1,0,0,0,-0.3102,0.5,0.5,0.0,0.0,0.0
17278,0,354,75,3501,1,1,30,0,14,0,4,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0
14812,0,433,88,720,0,0,30,0,2,0,1,0,0,0,-0.2263,0.0,0.5,0.0,0.5,0.0
9199,0,1497,1286,1436,0,0,20,0,2,0,1,0,0,0,0.4404,0.0,0.33,0.33,0.33,0.0
17894,0,510,132,17321,0,1,26,0,2,2,1,0,1,0,0.0258,0.0,0.5,0.0,0.0,0.5
9719,0,2759,1686,78,0,0,28,0,0,0,1,0,0,0,-0.8885,0.0,0.5,0.0,0.5,0.0
3479,0,1,0,1,0,0,51,0,1,0,0,0,1,0,-0.8316,0.0,0.4,0.0,0.2,0.4
5050,0,351,136,9979,10,2,34,0,2,0,2,0,1,0,-0.3182,0.0,1.0,0.0,0.0,0.0
1889,0,95,59,12771,1,0,31,0,1,0,0,0,0,0,0.1531,0.0,0.0,0.0,1.0,0.0
3601,0,65690,64804,18483,51,16,44,0,2,0,2,0,0,0,0.0,0.0,0.4,0.0,0.2,0.4
10186,0,794,197,157735,0,0,38,0,3,1,2,0,0,0,-0.7906,0.0,0.33,0.0,0.67,0.0
9754,0,168,37,17620,0,0,36,0,1,0,0,0,0,0,0.9169,0.0,0.0,0.25,0.5,0.25
5309,0,57,14,2197,0,0,58,0,3,0,0,0,0,0,-0.5423,0.0,0.67,0.0,0.33,0.0
7344,1,503,71,1397,0,0,27,0,0,0,0,0,0,0,0.0,0.0,0.33,0.0,0.67,0.0
15952,0,653,424,36523,0,0,40,0,0,0,1,0,0,0,-0.5106,0.2,0.4,0.2,0.0,0.2
13880,0,32,9,323,0,0,33,0,2,0,1,0,0,0,-0.0772,0.0,0.0,0.0,1.0,0.0
10141,0,10166,10410,4530,0,0,76,0,0,0,0,0,0,0,0.5719,0.0,0.57,0.0,0.14,0.29
8602,1,2194,2531,2208,0,0,30,0,8,0,3,0,0,0,-0.8779,0.0,0.33,0.0,0.67,0.0
17796,1,4992,4092,30851,0,0,53,0,11,0,2,1,0,0,0.6511,0.0,0.4,0.0,0.4,0.2
12215,1,1678,1541,8161,1,0,31,0,2,0,2,0,0,0,-0.8271,0.0,0.67,0.17,0.17,0.0
575,0,71,108,830,0,0,31,0,18,0,7,0,1,0,0.0,0.25,0.25,0.0,0.25,0.25
5346,0,57,15,2197,0,0,26,0,2,2,0,0,0,0,-0.7845,0.0,0.0,0.0,0.0,1.0
1352,0,4999,821,118052,0,0,47,0,1,0,1,0,0,0,-0.765,0.0,0.33,0.11,0.22,0.33
14108,1,11743,12057,58574,1,0,24,0,0,0,0,1,0,0,-0.1779,0.5,0.5,0.0,0.0,0.0
13651,0,4564,548,7652,0,0,41,0,1,0,0,0,0,0,-0.9595,0.0,0.33,0.0,0.33,0.33
14355,1,1232,668,34588,0,0,24,0,0,0,0,1,0,0,0.128,0.0,0.0,0.0,1.0,0.0
16069,0,28,152,87983,0,0,45,0,6,1,1,0,0,0,0.211,0.0,0.5,0.0,0.0,0.5
5478,1,472,117,1971,0,0,40,0,3,0,0,0,0,0,-0.6908,0.0,0.83,0.0,0.17,0.0
9391,0,221,942,1,0,0,29,0,0,0,2,0,0,0,-0.296,0.0,0.57,0.0,0.14,0.29
7050,0,4262,676,3091,0,0,43,0,1,0,1,0,0,0,-0.9196,0.0,0.0,0.0,0.33,0.67
505,0,112,74,2160,0,0,32,0,3,1,1,0,0,0,-0.7845,0.0,0.2,0.2,0.6,0.0
4764,0,873,920,119677,0,0,45,0,1,0,1,0,0,0,-0.2732,0.0,0.71,0.0,0.07,0.21
15575,0,181,30,954,0,0,47,0,2,0,3,0,0,0,-0.9153,0.0,0.2,0.0,0.4,0.4
13142,0,5001,981,106465,0,0,46,0,0,1,0,0,0,0,-0.3041,0.18,0.27,0.09,0.09,0.36
6157,0,3572,1390,11472,3,1,42,0,4,2,2,0,0,0,-0.4215,0.0,0.56,0.33,0.0,0.11
6045,0,284,351,1768,1,0,28,0,0,0,1,0,0,0,0.4019,0.0,0.5,0.0,0.0,0.5
2111,0,494,1573,19489,0,0,20,0,0,1,1,0,0,0,0.0,0.25,0.25,0.0,0.25,0.25
15911,0,1642,1020,1,0,0,45,0,1,1,3,0,0,0,-0.4404,0.2,0.2,0.0,0.4,0.2
6209,1,6118,5585,63376,0,0,28,1,1,0,4,0,0,1,-0.1531,0.0,0.5,0.0,0.33,0.17
7971,0,177,175,24028,0,0,41,0,3,0,1,0,1,0,-0.6369,0.0,0.0,0.0,0.5,0.5
10325,0,846,1930,17167,0,0,20,0,0,2,1,0,0,0,-0.7003,0.14,0.14,0.0,0.14,0.57
15903,0,14199,14180,9684,1,0,23,0,1,0,2,0,0,0,-0.7096,0.0,0.0,0.0,0.5,0.5
15467,0,8376,7619,908929,0,0,39,0,1,0,1,0,0,0,0.6808,0.17,0.17,0.17,0.17,0.33
3857,1,1108,475,26707,0,0,22,0,0,0,15,1,0,0,-0.8555,0.0,0.25,0.0,0.5,0.25
3616,0,139,76,1185,0,0,42,0,1,0,0,0,0,0,0.6361,0.0,0.2,0.2,0.2,0.4
5420,1,28,22,3221,0,1,43,0,3,1,0,0,0,0,-0.8481,0.0,0.17,0.0,0.67,0.17
15311,0,1144,581,13460,4,0,20,0,0,0,1,0,0,0,-0.7717,0.0,0.0,0.0,0.67,0.33
5665,0,4994,986,105376,0,0,33,0,3,4,1,0,0,0,-0.4939,0.0,0.0,0.33,0.33,0.33
16663,0,4760,4473,279606,1,0,61,0,3,0,2,0,1,0,-0.7579,0.0,1.0,0.0,0.0,0.0
15953,0,13622,29788,45,0,0,27,0,1,0,0,0,0,0,0.0,0.0,0.4,0.0,0.4,0.2
7139,0,635,1005,154,0,0,42,0,4,6,1,0,0,0,-0.7351,0.5,0.0,0.5,0.0,0.0
16124,0,235,34,251,0,1,41,0,1,3,4,0,0,0,-0.5106,0.0,0.67,0.0,0.0,0.33
17777,0,38,20,4423,0,0,45,0,1,0,1,0,0,0,-0.5994,0.0,0.2,0.0,0.6,0.2
12681,0,501,1755,2355,1,0,43,0,1,0,0,0,0,0,-0.5574,0.0,0.29,0.14,0.43,0.14
7476,0,195,72,1175,0,0,41,0,0,0,0,0,0,0,-0.9313,0.0,0.43,0.29,0.0,0.29
16864,0,1039,894,51790,1,4,31,0,2,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0
11545,0,4082,1110,19004,1,0,37,0,2,0,2,0,0,0,-0.7506,0.0,0.67,0.0,0.33,0.0
14090,1,19940,20061,1346,5,4,23,0,0,0,1,0,0,0,-0.296,0.25,0.5,0.25,0.0,0.0
13692,0,89,21985,71,67,10,34,0,2,0,2,0,0,0,0.8402,0.0,0.0,0.0,1.0,0.0
2993,0,73,23,13056,0,0,24,0,1,0,2,0,0,0,0.176,0.0,0.5,0.0,0.5,0.0
8293,0,4428,3409,444022,1,0,38,0,0,0,0,0,0,0,-0.3632,0.0,0.0,0.0,1.0,0.0
9070,0,2702,834,58641,1,0,32,0,0,0,7,0,0,0,-0.6808,0.0,0.5,0.0,0.5,0.0
15101,0,858,1726,6526,34,2,41,0,3,0,2,0,0,0,0.9509,0.0,0.0,0.8,0.2,0.0
13133,1,1325,168,1365,0,0,26,1,1,0,5,0,0,1,-0.7184,0.0,0.0,0.0,0.33,0.67
15150,0,159,57,25147,0,0,31,0,3,0,2,0,1,0,-0.4847,0.0,0.33,0.0,0.0,0.67
13442,0,662,322,15967,0,0,23,0,4,0,1,0,0,0,0.6044,0.0,0.67,0.0,0.33,0.0
11588,0,1499,2999,3047,1,0,21,0,2,0,2,0,0,0,0.2235,0.0,0.33,0.0,0.33,0.33
9093,0,2243,1009,10146,3,0,35,0,1,0,0,0,1,0,0.7351,0.0,1.0,0.0,0.0,0.0
3314,1,15333,16268,35222,1,0,34,1,1,0,13,0,0,1,0.765,0.0,0.0,0.2,0.2,0.6
12441,0,502,461,27180,0,0,30,0,15,0,0,0,0,0,-0.2023,0.0,0.0,0.0,0.0,0.0
3090,0,118,20,16412,0,0,32,0,1,0,0,0,0,0,-0.8957,0.0,0.25,0.0,0.5,0.25
14372,0,2311,247715,181016,496,74,39,0,1,0,0,0,0,0,0.0,0.0,0.33,0.5,0.0,0.17
3230,0,5956,5741,22368,0,0,42,0,2,0,0,0,1,0,0.7096,0.0,0.6,0.0,0.0,0.4
8930,0,76,50,877,0,0,46,0,4,0,6,0,0,0,0.5994,0.0,0.25,0.0,0.0,0.75
3502,0,11,0,30,0,0,41,0,2,0,1,0,1,0,-0.8934,0.14,0.14,0.0,0.43,0.29
13383,1,5544,5150,14559,0,0,24,0,0,0,0,0,0,0,-0.0258,0.0,0.5,0.0,0.5,0.0
7110,0,4305,3919,30174,2,1,30,0,0,0,0,0,1,0,-0.6908,0.0,0.0,0.0,0.0,0.0
12831,0,11494,13822,35423,1,1,27,0,1,0,1,0,0,0,0.0,0.0,0.0,0.33,0.0,0.67
13571,0,4902,6105,17537,4,0,34,0,6,0,0,0,0,0,-0.3535,0.0,0.67,0.0,0.0,0.33
12954,0,1024,942,4173,0,0,34,0,10,3,1,0,0,0,-0.7184,0.0,0.25,0.5,0.0,0.25
4755,0,19,2,0,0,0,21,0,1,0,0,0,1,0,0.0,0.0,0.25,0.0,0.25,0.5
3429,0,38,3,721,0,0,52,0,8,0,5,0,0,0,-0.875,0.0,0.4,0.0,0.2,0.4
10666,0,36,48,347,0,0,39,0,5,0,5,0,0,0,-0.3353,0.0,0.8,0.2,0.0,0.0
2216,0,1021,4181,2811,13,5,28,0,1,0,1,0,0,0,0.0,0.0,0.4,0.0,0.2,0.4
3550,0,396,154,3788,1,0,25,0,0,1,1,0,0,0,0.0258,0.0,0.0,0.0,0.5,0.5
10600,1,15759,14899,39978,3,1,47,0,3,1,6,0,0,0,0.8467,0.0,0.5,0.0,0.25,0.25
17233,0,7095,6539,96119,0,0,35,0,5,1,2,0,1,0,0.2023,0.0,0.33,0.33,0.0,0.33
1127,0,2498,2409,51268,0,0,30,0,1,5,2,0,0,0,-0.25,0.0,0.5,0.0,0.0,0.5
8776,0,20,19,12,0,0,39,0,1,0,0,0,0,0,0.0,0.0,0.33,0.0,0.17,0.5
11809,0,4998,946,76365,0,0,24,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.33,0.67
1799,0,26,14305,63188,0,0,22,0,0,0,0,0,0,0,-0.0762,0.0,0.0,0.5,0.5,0.0
7816,0,656,348,4489,0,0,40,0,1,0,14,0,0,0,-0.6734,0.0,0.71,0.14,0.14,0.0
15989,0,2465,65257,16520,211,35,32,0,0,0,0,0,0,0,-0.4767,0.2,0.4,0.0,0.2,0.2
11105,0,0,0,354,0,0,27,0,2,0,0,0,0,0,-0.872,0.17,0.17,0.0,0.67,0.0
15342,1,4105,3686,16431,3,2,21,1,1,0,4,0,0,1,-0.2732,0.0,0.0,0.0,0.0,1.0
13299,1,4796,1764,6331,1,0,28,1,1,0,5,0,0,1,-0.3612,0.11,0.33,0.0,0.22,0.33
10801,0,1042,1145,15390,0,0,31,0,14,0,2,0,0,0,-0.5994,0.33,0.33,0.0,0.33,0.0
2034,0,41,30,1715,1,0,24,0,5,0,0,0,0,0,0.296,0.0,0.0,0.67,0.33,0.0
11148,0,2253,288,80211,2,0,26,0,5,0,2,0,0,0,0.4588,0.0,0.0,1.0,0.0,0.0
4125,0,1953,2408,7698,0,0,31,0,1,1,1,0,1,0,-0.1531,0.0,1.0,0.0,0.0,0.0
5106,0,2267,1558,17173,0,0,82,0,1,0,2,0,0,0,-0.9477,0.0,0.5,0.33,0.0,0.17
17439,0,179,11,81,0,0,56,0,1,0,5,0,0,0,-0.25,0.0,0.33,0.0,0.33,0.33
4104,0,1728,1294,53,0,0,24,0,0,15,1,0,0,0,0.0,0.33,0.67,0.0,0.0,0.0
12907,0,398,273,11375,0,0,45,0,0,0,0,0,0,0,0.25,0.14,0.71,0.0,0.0,0.14
4367,0,762,263,8340,0,0,33,0,2,0,2,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0
11000,0,14,7,648,2,0,39,0,2,0,0,0,0,0,0.0,0.0,0.5,0.0,0.0,0.5
11227,0,6975,6376,622593,1,0,24,0,1,1,0,0,0,0,0.0711,0.0,0.2,0.0,0.6,0.2
9255,1,24127,25313,176028,18,7,49,0,0,0,0,0,0,0,-0.8934,0.0,0.38,0.0,0.5,0.12
5954,0,2319,3525,17597,0,1,28,0,0,0,2,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0
4254,1,75,235,1261,2,1,26,1,1,0,1,0,0,1,0.0,0.5,0.0,0.0,0.0,0.5
11983,0,18,6,6,0,0,21,0,1,0,0,0,0,0,-0.8176,0.0,0.33,0.0,0.33,0.33
7144,0,223,3450,47,5,4,44,0,1,0,1,0,0,0,0.9081,0.0,0.0,0.44,0.33,0.22
14633,0,272,91,364,0,0,33,0,1,0,0,0,0,0,-0.8591,0.0,0.4,0.0,0.4,0.2
13525,0,3142,1374,34951,16,6,28,0,7,1,0,0,0,0,0.872,0.0,0.0,0.0,0.0,1.0
16231,0,521,390,9012,1,1,32,0,6,5,1,0,1,0,-0.25,0.0,1.0,0.0,0.0,0.0
9441,0,1535,4383278,85,102,18,34,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0
617,0,0,1,220,0,0,34,0,5,5,3,0,0,0,-0.8885,0.0,0.75,0.0,0.25,0.0
13712,0,57,46,1951,0,0,41,0,3,4,5,0,0,0,-0.8225,0.0,0.25,0.25,0.25,0.25
11931,1,300,53,726,1,0,20,1,1,0,2,0,0,1,0.0,0.0,0.25,0.0,0.0,0.75
11740,0,3103,1676,1672,0,0,33,0,0,1,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0
7375,0,93,36,853,0,0,28,0,2,0,1,0,1,0,-0.4767,0.0,0.0,0.2,0.6,0.2
3989,0,51,70,8458,1,0,51,0,5,0,2,0,0,0,-0.7184,0.0,0.5,0.0,0.25,0.25
8253,0,949,1645,53861,0,0,31,0,0,0,1,0,0,0,0.886,0.0,0.0,0.5,0.25,0.25
12510,0,29,3,4123,0,0,23,0,0,0,4,0,0,0,-0.9186,0.25,0.5,0.0,0.0,0.25
7953,1,82,84,13123,0,0,27,0,3,0,5,0,0,0,-0.6486,0.0,0.5,0.0,0.0,0.5
7025,1,615,111,1385,0,0,22,0,2,1,3,0,0,0,-0.5267,0.0,0.25,0.0,0.5,0.25
4847,1,184,73,4128,0,0,23,0,0,4,15,0,0,0,0.0,0.0,0.0,0.5,0.0,0.5
