,questionable_domain,user_friends_count,user_followers_count,user_favourites_count,user_verified,favorite_count,retweet_count,contains_profanity,word_count,contains_gatewaypundit,mentions_count,hashtags_count,Caps_count,contains_bad_url,contains_good_url,contains_bad_mentions,contains_good_mentions,contains_bad_hashtags,contains_good_hashtags,sentiment_analysis,contains_bad_words,contains_good_words,angry_level,fear_level,happy_level,sad_level,surprise_level
8056,0,438,204,66131,0,1,0,0,39,0,1,0,1,0,1,0,0,0,0,-0.296,0,0,0.0,0.29,0.0,0.14,0.57
10548,0,235,72,897,0,0,0,0,35,0,2,0,2,0,0,0,0,0,0,0.8807,0,0,0.25,0.25,0.5,0.0,0.0
2516,0,1508,6518,313,0,10,5,0,21,0,3,0,0,0,0,0,0,0,0,-0.2732,0,0,0.0,1.0,0.0,0.0,0.0
4413,0,783,630,2057,0,5,1,0,45,0,6,0,3,0,0,0,0,0,0,-0.7351,0,0,0.14,0.29,0.0,0.29,0.29
14062,0,610,727,1471,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,-0.5106,0,0,0.0,0.0,0.25,0.5,0.25
9459,0,2214,1422,41003,0,3,2,0,25,0,1,0,2,0,0,0,0,0,0,-0.2263,0,0,0.0,0.4,0.0,0.6,0.0
12385,0,2198,2793,3440,0,1,0,0,40,0,0,0,2,0,0,0,0,0,0,-0.5859,0,0,0.5,0.17,0.0,0.17,0.17
16696,0,57,29,59,0,0,0,0,30,0,0,0,1,0,0,0,0,0,0,-0.9064,0,0,0.0,0.43,0.0,0.43,0.14
12032,0,421,557,2071,0,0,1,0,29,0,0,0,1,0,0,0,0,0,0,-0.7184,0,0,0.0,0.33,0.0,0.33,0.33
14467,0,1002,29,166,0,0,0,0,32,0,2,0,6,0,0,0,0,0,0,-0.875,0,1,0.0,0.25,0.0,0.0,0.75
8645,0,4956,2594,226507,0,0,0,0,29,0,9,6,6,0,0,0,0,0,1,-0.5994,0,1,0.0,0.5,0.0,0.5,0.0
14268,1,48978,48554,81927,0,2,2,0,41,0,4,1,1,0,0,0,1,0,0,-0.3182,0,0,0.17,0.17,0.0,0.17,0.5
9592,0,2495,28434,1307,0,5,1,0,20,0,0,0,1,0,0,0,0,0,0,0.34,0,0,0.25,0.5,0.0,0.0,0.25
4501,0,299,9,2317,0,0,0,0,22,0,12,0,4,0,1,0,1,0,0,0.0,0,0,0.5,0.0,0.0,0.0,0.5
361,0,503,87,3383,0,0,0,0,23,0,1,0,0,0,0,0,0,0,0,-0.4767,0,0,0.0,0.0,0.0,0.33,0.67
8807,0,5001,1992,19521,0,0,0,0,31,0,0,2,17,0,0,0,0,0,0,0.6597,0,0,0.0,0.0,0.0,0.0,0.0
9818,0,4599,4618,219839,0,1,1,0,43,0,0,0,1,0,0,0,0,0,0,-0.4767,0,0,0.0,0.5,0.0,0.17,0.33
651,0,922,871,47,0,0,0,0,41,0,1,0,1,0,0,0,0,0,0,-0.0299,0,0,0.0,0.17,0.0,0.33,0.5
1303,0,580,139,3531,0,0,0,0,50,0,1,0,5,0,0,0,0,0,0,-0.5106,0,1,0.0,0.25,0.25,0.0,0.5
1869,0,969,1387,253070,0,0,0,0,30,0,13,5,2,0,0,0,0,0,0,-0.6249,0,0,0.0,0.33,0.33,0.0,0.33
7301,0,778,124,1684,0,0,0,0,28,0,8,3,2,0,0,0,1,0,0,-0.2023,0,0,0.0,0.5,0.0,0.0,0.5
7771,0,1167,5433,5194,0,0,0,0,24,0,1,2,0,0,0,0,0,0,0,0.7003,0,0,0.0,0.4,0.2,0.0,0.4
6916,0,2367,1421,14210,0,0,0,0,33,0,2,0,1,0,0,0,0,0,0,-0.0276,0,0,0.0,0.5,0.0,0.0,0.5
10368,0,4843,2934,22895,0,0,0,0,30,0,6,2,1,0,1,0,0,0,0,0.0258,0,0,0.17,0.17,0.33,0.0,0.33
7721,0,63875,62091,6683,0,118,43,0,34,0,0,0,1,0,0,0,0,0,0,-0.2732,0,0,0.0,0.25,0.0,0.0,0.75
14406,0,3249,901,3487,0,0,0,0,27,0,2,0,0,0,0,0,0,0,0,0.1779,0,0,0.0,0.0,0.0,0.0,1.0
11752,1,8816,10169,977,0,0,0,0,24,0,1,0,1,0,0,0,0,0,0,-0.5423,0,0,0.5,0.25,0.0,0.0,0.25
10417,0,501,320,6972,0,0,0,1,57,0,2,0,1,0,0,0,0,0,0,-0.749,0,0,0.0,0.29,0.14,0.43,0.14
9728,0,10763,14295,99894,0,5,1,0,34,0,1,0,0,0,0,0,0,0,0,-0.5859,0,0,0.0,0.5,0.0,0.0,0.5
7780,0,642,3190,16220,0,7,0,0,28,0,0,0,1,0,0,0,0,0,0,0.4404,0,0,0.0,0.0,0.25,0.5,0.25
12176,0,4444,4928,39988,0,0,0,0,34,0,2,4,1,0,0,0,0,0,0,0.4404,0,0,0.0,0.12,0.12,0.38,0.38
16236,0,1014,30,166,0,0,0,0,23,0,3,0,9,0,0,0,0,0,0,-0.8481,0,1,0.0,1.0,0.0,0.0,0.0
5516,0,1865,1027,104,0,1,0,0,46,0,0,0,2,0,0,0,0,0,0,-0.7845,0,0,0.11,0.44,0.0,0.22,0.22
11272,0,0,0,354,0,0,0,0,27,0,2,0,0,0,0,0,0,0,0,-0.872,0,1,0.17,0.17,0.0,0.67,0.0
3024,0,1335,3992,2003,0,1,1,0,47,0,2,2,3,0,0,0,0,0,0,-0.9056,0,0,0.0,0.17,0.0,0.33,0.5
14543,0,160,862,62,0,0,0,0,27,0,4,0,3,0,0,0,0,0,0,-0.3612,0,0,0.0,1.0,0.0,0.0,0.0
13196,0,145,19,111,0,1,0,0,21,0,3,0,0,0,0,0,0,0,0,-0.3612,0,0,0.0,0.5,0.0,0.5,0.0
7273,0,34109,31909,102207,0,0,0,0,23,0,16,0,2,0,0,0,0,0,0,-0.3818,0,0,0.0,0.0,0.0,1.0,0.0
4291,1,272,169,496,0,0,1,0,26,1,1,0,1,0,0,1,0,0,0,0.0,0,1,0.5,0.0,0.0,0.0,0.5
14038,0,39,110,7326,0,0,0,0,44,0,2,1,1,0,0,0,0,0,0,-0.8481,0,0,0.0,0.5,0.0,0.2,0.3
5714,0,1280,381,3208,0,0,0,0,24,0,1,0,1,0,1,0,0,0,0,0.6597,0,0,0.0,0.4,0.4,0.2,0.0
9827,1,2547,2297,5832,0,0,0,0,44,0,0,0,2,1,0,0,0,0,0,-0.9274,0,0,0.0,0.71,0.0,0.14,0.14
16843,0,1489,417,15525,0,0,0,0,23,0,1,0,3,0,0,0,0,0,0,-0.5859,0,0,0.0,0.5,0.0,0.5,0.0
14587,0,24,1084,3384,0,2,0,1,34,0,1,0,1,0,0,0,0,0,0,-0.5423,0,1,0.5,0.5,0.0,0.0,0.0
9430,1,252096,247028,844,0,30,17,0,38,0,0,0,12,1,0,0,0,0,0,-0.9321,0,0,0.0,0.75,0.0,0.25,0.0
2885,0,835,321,3,0,0,0,0,102,0,50,2,5,0,1,0,1,0,0,-0.7906,0,0,0.0,0.0,0.0,1.0,0.0
13297,0,74,378,58616,0,0,0,0,27,0,15,6,4,0,0,0,1,0,0,-0.2263,0,0,0.0,0.0,0.0,0.67,0.33
9844,1,906,869,12009,0,0,0,0,21,0,1,0,1,1,0,0,0,0,0,-0.8442,0,0,0.0,0.5,0.0,0.25,0.25
9502,0,93,112,631,0,3,0,0,20,0,0,0,0,0,0,0,0,0,0,-0.296,0,0,0.0,1.0,0.0,0.0,0.0
13650,0,8157,8247,31501,0,9,7,0,28,0,1,0,1,0,0,0,0,0,0,-0.4767,0,0,0.0,0.17,0.17,0.5,0.17
8628,0,673,411728,3565,1,94,23,0,23,0,0,1,1,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
928,0,187,47,47264,0,1,0,0,50,0,4,0,0,0,0,0,0,0,0,-0.7845,0,1,0.17,0.33,0.0,0.0,0.5
9541,0,763,753,21875,0,0,0,0,51,0,1,0,3,0,0,0,0,0,0,0.6597,0,1,0.0,0.33,0.33,0.0,0.33
4269,0,0,1,1,0,0,0,0,49,0,3,0,1,0,1,0,0,0,0,-0.4019,0,1,0.0,0.25,0.0,0.0,0.75
2351,1,7056,7458,3674,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,-0.8176,0,0,0.0,0.17,0.0,0.33,0.5
8730,0,63,10,188,0,0,0,0,41,0,0,0,2,0,0,0,0,0,0,0.0,0,0,0.0,0.75,0.0,0.25,0.0
8289,0,8,22,25,0,0,0,0,31,0,3,0,0,0,0,0,0,0,0,-0.4939,0,0,0.5,0.0,0.0,0.5,0.0
13179,1,1375,773,21866,0,0,0,0,24,1,1,0,5,0,0,1,0,0,0,-0.7184,0,1,0.0,0.0,0.0,0.33,0.67
14176,1,718,464,221,0,0,0,0,31,0,0,0,3,1,0,0,0,0,0,-0.8126,0,0,0.0,0.33,0.33,0.0,0.33
17053,0,34092,31727,109069,0,0,0,0,27,0,18,0,4,0,0,0,0,0,0,-0.5423,0,0,0.0,0.0,0.0,0.0,0.0
5613,1,75388,78689,76124,0,3,2,0,20,1,1,0,0,0,0,1,0,0,0,-0.6808,0,0,0.0,0.0,0.0,0.0,1.0
12498,0,912,4737,8258,0,5,0,0,20,0,1,0,1,0,1,0,0,0,0,0.0,0,1,0.25,0.5,0.0,0.0,0.25
15459,1,2564,1310,13690,0,0,0,1,22,1,1,3,0,0,0,1,0,0,0,-0.7964,0,0,0.0,0.0,0.0,0.0,1.0
17090,0,1910,6529,12013,0,2,1,1,24,0,0,0,1,0,0,0,0,0,0,-0.2732,0,0,0.0,0.33,0.33,0.0,0.33
15425,0,1686,162,3745,0,0,0,1,44,0,1,0,1,0,0,0,0,0,0,0.2023,0,0,0.0,0.0,0.0,1.0,0.0
8909,0,726,545,398,0,1,0,0,22,0,2,0,0,0,0,0,0,0,0,-0.836,0,0,0.0,0.4,0.0,0.2,0.4
13674,1,10300,10142,22119,0,7,4,0,27,0,3,6,4,1,0,0,0,0,0,-0.8126,0,0,0.0,1.0,0.0,0.0,0.0
16852,0,2002,799,19448,0,1,0,0,50,0,0,0,2,0,0,0,0,0,0,-0.0772,0,0,0.0,0.43,0.29,0.14,0.14
7220,0,1051,733,8837,0,1,0,0,24,0,0,0,1,0,0,0,0,0,0,0.0,0,0,0.0,1.0,0.0,0.0,0.0
10689,0,1319,483,2899,0,0,0,0,29,0,5,0,23,0,0,0,0,0,0,0.6369,0,0,0.0,0.67,0.33,0.0,0.0
15409,0,6070,8293,84932,0,6,1,1,43,0,2,0,4,0,0,0,0,0,0,-0.5859,0,0,0.0,0.25,0.0,0.5,0.25
13925,0,685,118,6160,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,-0.2263,0,0,0.0,0.0,0.0,1.0,0.0
5001,0,3632,2930,83462,0,1,0,0,35,0,2,0,1,0,0,0,1,0,0,-0.7579,0,1,0.33,0.0,0.0,0.0,0.67
17604,0,1322,901,20916,0,5,2,0,45,0,5,0,1,0,0,0,1,0,0,-0.6533,0,0,0.0,0.4,0.2,0.4,0.0
11856,0,0,1,354,0,0,0,0,44,0,3,0,1,0,0,0,0,0,0,-0.936,0,1,0.11,0.22,0.0,0.56,0.11
3315,0,52,14,2043,0,0,1,0,44,0,4,0,2,0,0,0,0,0,0,0.0,0,0,0.0,0.29,0.0,0.14,0.57
13063,0,4,0,4,0,0,0,0,43,0,1,0,4,0,1,0,0,0,0,-0.0258,0,0,0.0,0.25,0.0,0.25,0.5
101,0,215,263,18777,0,0,0,0,45,0,4,0,1,0,0,0,0,0,0,-0.3612,0,0,0.0,0.2,0.0,0.6,0.2
13459,0,1945,1646,5645,0,0,0,0,49,0,0,2,2,0,0,0,0,0,0,0.743,0,0,0.0,0.6,0.2,0.0,0.2
3997,0,6904,18321,44736,1,1,5,0,23,0,1,0,1,0,0,0,0,0,0,-0.5106,0,0,0.0,0.0,0.0,0.67,0.33
10778,0,31,12,178,0,0,0,0,30,0,2,0,0,0,0,0,1,0,0,-0.7754,0,0,0.0,0.0,0.0,0.5,0.5
2232,0,835,319,3,0,0,0,0,92,0,50,2,6,0,1,0,1,0,0,-0.5984,0,0,0.0,0.5,0.0,0.0,0.5
9619,0,3146,2890,114,0,1,1,0,20,0,0,0,1,0,0,0,0,0,0,-0.7845,0,0,0.0,0.2,0.0,0.2,0.6
13492,0,23,0,7,0,0,0,1,48,0,0,0,2,0,0,0,0,0,0,-0.2282,0,0,0.1,0.2,0.2,0.2,0.3
563,0,1595,424,6436,0,0,0,1,31,0,3,0,3,0,1,0,0,0,0,-0.7964,0,0,0.0,0.14,0.0,0.57,0.29
9069,0,558,372,27918,0,1,1,0,22,0,1,0,2,0,0,0,0,0,0,0.0,0,1,0.0,0.0,1.0,0.0,0.0
14264,0,11738,13836,59953,0,54,15,0,47,0,0,0,1,0,0,0,0,0,0,-0.93,0,0,0.25,0.0,0.12,0.25,0.38
3047,0,18401,17891,10729,0,2,0,0,39,0,7,0,4,0,0,0,0,0,0,-0.9538,0,1,0.0,0.5,0.0,0.33,0.17
13649,0,402,0,871,0,0,0,0,20,0,1,0,0,0,0,0,0,0,0,-0.5423,0,0,0.0,0.75,0.0,0.25,0.0
15212,0,569,233,26292,0,0,0,1,35,0,4,0,2,0,0,0,0,0,0,-0.5859,0,1,0.0,0.67,0.0,0.0,0.33
8878,0,401,76,111,0,0,0,0,42,0,3,2,0,0,0,0,0,0,1,0.7506,0,0,0.25,0.25,0.0,0.25,0.25
14020,0,3891,1488,107503,0,4,0,1,41,0,0,0,3,0,0,0,0,0,0,-0.7845,0,0,0.0,0.29,0.14,0.43,0.14
17659,0,2392,831,1332,0,2,1,0,34,0,5,1,1,0,0,0,0,0,0,0.3818,0,1,0.0,0.0,0.0,0.33,0.67
6933,0,97,0,1901,0,1,0,1,27,0,1,0,2,0,0,0,0,0,0,-0.9451,0,0,0.0,0.25,0.0,0.5,0.25
6253,0,4065,166,228,0,0,0,0,24,0,0,0,2,0,1,0,0,0,0,-0.9042,0,1,0.25,0.0,0.0,0.25,0.5
14990,0,1903,870,9112,0,0,0,0,20,0,2,0,0,0,1,0,0,0,0,0.0,0,0,0.0,1.0,0.0,0.0,0.0
15279,0,671,357,1957,0,0,0,0,49,0,0,3,3,0,0,0,0,0,0,-0.8992,0,0,0.0,0.38,0.0,0.38,0.25
8287,1,2523,2187,61925,0,0,2,0,32,0,6,0,4,1,0,0,0,0,0,0.25,0,1,0.33,0.67,0.0,0.0,0.0
7308,1,541,370,1034,0,2,0,0,33,0,5,0,0,1,0,0,0,0,0,0.9062,0,0,0.0,0.0,0.4,0.2,0.4
4724,1,11820,12190,20242,0,0,0,0,24,1,1,0,2,0,0,1,0,0,0,0.0,0,0,0.2,0.2,0.0,0.0,0.6
13619,0,1756,44420,13566,1,84,26,0,32,0,7,1,0,0,0,0,1,0,0,0.4754,0,0,0.0,0.0,0.17,0.5,0.33
12581,0,1321,408,1012,0,1,0,0,25,0,0,0,1,0,0,0,0,0,0,-0.25,0,0,0.0,0.6,0.0,0.0,0.4
14915,0,31,6,2662,0,0,0,0,40,0,1,0,0,0,1,0,0,0,0,-0.7351,0,1,0.0,0.6,0.0,0.0,0.4
9341,0,14425,23712,55535,0,34,11,0,51,0,1,0,4,0,0,0,0,0,0,-0.6808,0,0,0.0,0.5,0.0,0.5,0.0
6886,0,117,8,4310,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,-0.8519,0,0,0.0,0.5,0.0,0.0,0.5
12416,0,97,3,0,0,0,0,0,24,0,1,0,0,0,1,0,0,0,0,-0.5106,0,0,0.0,0.33,0.0,0.0,0.67
10646,0,579,69,12894,0,0,0,0,29,0,2,3,1,0,0,0,1,0,0,-0.6249,0,0,0.0,0.25,0.0,0.25,0.5
3207,0,4743,3622,73003,0,0,0,0,28,0,0,0,2,0,1,0,0,0,0,0.0,0,1,0.0,0.5,0.0,0.25,0.25
657,0,483,84,2875,0,0,0,0,20,0,1,0,1,0,0,0,0,0,0,-0.872,0,0,0.2,0.0,0.0,0.8,0.0
17215,1,4125,78588,24042,0,7,4,0,32,0,12,0,3,1,0,0,0,0,0,0.0,0,1,0.0,0.0,0.0,0.0,1.0
9858,0,15724,16111,248922,0,0,0,0,40,0,0,1,0,0,0,0,0,0,0,-0.5574,0,0,0.1,0.2,0.0,0.3,0.4
3445,1,680,120,392,0,1,1,0,24,0,0,0,1,1,0,0,0,0,0,-0.5719,0,0,0.0,0.0,0.0,1.0,0.0
5736,0,1202,1273,35783,0,0,0,0,37,0,4,0,3,0,0,0,0,0,0,0.6124,0,0,0.0,0.0,1.0,0.0,0.0
2814,0,47,2,357,0,0,0,0,26,0,4,0,2,0,0,0,0,0,0,-0.6249,0,0,0.0,0.25,0.0,0.25,0.5
6510,0,22,4,271,0,0,0,0,20,0,0,0,1,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,1.0
1554,0,1684,4892,7526,0,3,1,0,21,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,1.0
4843,1,203,405,3192,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.33,0.0,0.67,0.0
9690,0,6356,6393,77157,0,5,4,0,46,0,0,0,3,0,0,0,0,0,0,-0.6369,0,0,0.0,0.14,0.0,0.29,0.57
13137,0,24,5,50,0,0,0,0,26,0,1,0,0,0,1,0,0,0,0,0.0,0,0,0.0,0.5,0.0,0.0,0.5
3341,0,230,16,2230,0,0,0,0,40,0,1,0,1,0,0,0,0,0,0,0.8934,0,0,0.0,0.33,0.67,0.0,0.0
2157,0,432,187,12371,0,0,0,0,34,0,2,2,0,0,0,0,0,0,0,-0.088,0,0,0.0,0.75,0.0,0.0,0.25
11354,0,720,386,16396,0,0,0,0,22,0,2,0,0,0,0,0,0,0,0,0.6249,0,0,0.0,1.0,0.0,0.0,0.0
15178,0,0,0,3,0,0,0,0,34,0,1,0,4,0,0,0,0,0,0,-0.7269,0,0,0.0,0.14,0.0,0.29,0.57
476,1,794,246,25303,0,1,0,0,31,0,1,2,1,0,0,0,0,0,0,-0.5423,0,0,0.0,0.25,0.0,0.25,0.5
17546,0,3203,1265,31644,0,0,0,0,40,0,2,5,2,0,1,0,0,0,0,-0.5859,0,1,0.0,0.55,0.0,0.18,0.27
5094,0,128,4263,31,1,0,0,0,23,0,1,1,0,0,0,0,0,0,0,0.0,0,1,0.0,0.67,0.0,0.0,0.33
17465,0,3023,1485,7,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,-0.4019,0,0,0.0,0.0,0.0,0.75,0.25
13806,0,1208,1267,8748,0,0,0,0,39,0,0,0,0,0,1,0,0,0,0,-0.936,0,0,0.17,0.5,0.0,0.17,0.17
2730,0,423,32,2066,0,0,0,0,37,0,5,0,0,0,1,0,0,0,0,-0.34,0,0,0.0,0.0,0.25,0.25,0.5
4614,0,3455,2607,40409,0,2,0,0,52,0,50,0,3,0,0,0,0,0,0,0.0,0,1,0.0,0.0,0.0,0.0,0.0
14359,0,1498,109,28586,0,0,0,0,39,0,0,3,1,0,0,0,0,0,0,0.4019,0,0,0.5,0.33,0.0,0.0,0.17
16927,0,332,800,1468,0,1,1,0,32,0,3,0,1,0,0,0,0,0,0,0.0,0,0,0.0,0.5,0.25,0.0,0.25
6351,0,342,90,849,0,2,0,0,47,0,1,0,0,0,0,0,0,0,0,-0.863,0,0,0.0,0.14,0.0,0.43,0.43
8406,0,2556,25255,102854,1,72,11,0,42,0,0,0,1,0,0,0,0,0,0,-0.7579,0,1,0.0,0.25,0.0,0.25,0.5
15755,0,5,39,0,0,0,1,0,39,0,0,0,38,0,0,0,0,0,0,0.0,0,1,0.0,0.5,0.0,0.0,0.5
10838,1,5446,5104,11332,0,0,0,1,21,1,1,0,1,0,0,1,0,0,0,-0.7783,0,0,0.0,0.4,0.0,0.2,0.4
13166,1,866,770,13576,0,0,0,0,24,1,1,0,5,0,0,1,0,0,0,-0.7184,0,1,0.0,0.0,0.0,0.33,0.67
15382,0,159,6,236,0,0,0,0,45,0,0,0,3,0,0,0,0,0,0,-0.8074,0,0,0.0,0.1,0.1,0.7,0.1
10126,0,518,297,24900,0,4,0,0,29,0,1,0,1,0,0,0,0,0,0,-0.5994,0,0,0.0,0.0,0.33,0.33,0.33
3079,0,1414,460,5158,0,0,0,0,68,0,34,0,13,0,0,0,0,0,0,-0.9661,0,1,0.0,0.0,0.75,0.25,0.0
7975,0,4235,4227,6777,1,39,11,0,29,0,0,0,1,0,0,0,0,0,0,0.6915,0,0,0.0,0.33,0.0,0.33,0.33
17479,1,3992,3931,103424,0,0,0,0,38,0,0,0,0,1,0,0,0,0,0,-0.8316,0,0,0.0,0.5,0.0,0.25,0.25
123,1,26506,27506,173583,0,9,8,0,27,0,0,0,0,0,0,0,0,0,0,-0.5574,0,0,0.0,0.5,0.0,0.5,0.0
11932,0,965,4885,9945,1,5,2,0,42,0,3,0,2,0,0,0,0,0,0,0.0,0,0,0.0,0.25,0.0,0.5,0.25
736,0,4994,2451,24597,0,0,0,0,40,0,6,3,2,0,1,0,0,0,0,0.8954,0,1,0.0,0.33,0.0,0.0,0.67
16348,0,43,80,31523,0,0,0,0,42,0,2,1,1,0,0,0,1,0,0,0.3182,0,0,0.0,0.57,0.0,0.29,0.14
4467,0,713,524,27294,0,0,0,0,53,0,2,0,1,0,0,0,0,0,0,-0.5859,0,0,0.2,0.4,0.2,0.0,0.2
17664,0,1072,23418,4111,1,2,0,0,24,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
103,0,5000,3643,83662,0,0,0,1,45,0,1,1,1,0,0,0,0,0,0,-0.6124,0,1,0.0,0.0,0.0,0.25,0.75
10987,0,4864,2995,119021,0,1,0,0,41,0,1,0,1,0,0,0,1,0,0,-0.926,0,0,0.4,0.2,0.0,0.0,0.4
5139,1,17121,16732,56800,0,3,3,0,27,1,1,0,1,0,0,1,0,0,0,-0.836,0,0,0.0,0.83,0.0,0.0,0.17
9948,1,293,85,49,0,0,0,0,21,1,1,0,8,0,0,1,0,0,0,-0.6486,0,0,0.0,0.0,0.0,0.33,0.67
9851,1,1152,845,71715,0,0,0,0,23,1,1,0,0,0,0,1,0,0,0,-0.1531,0,0,0.0,0.25,0.5,0.25,0.0
733,0,298,820,96965,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0.5574,0,0,0.0,0.5,0.0,0.0,0.5
3048,0,3610,4902,109179,0,4,0,0,22,0,8,0,0,0,0,0,0,0,0,0.7717,0,1,0.0,0.4,0.2,0.4,0.0
2864,0,1,0,477,0,0,0,1,41,0,2,1,2,0,0,0,0,0,0,-0.9081,0,0,0.0,0.62,0.0,0.12,0.25
11955,0,1788,1356,4197,0,2,0,0,42,0,1,0,0,0,0,0,0,0,0,0.8481,0,0,0.0,0.5,0.0,0.0,0.5
322,0,41,10,3494,0,0,0,0,35,0,2,5,5,0,0,0,0,0,0,-0.9153,0,1,0.0,0.4,0.0,0.4,0.2
3434,0,417,67,344,0,0,0,0,42,0,7,0,4,0,0,0,1,0,0,-0.7964,0,0,0.0,0.5,0.0,0.5,0.0
4417,0,350,132,4072,0,0,0,0,49,0,2,2,2,0,0,0,1,0,0,0.4215,0,0,0.0,0.67,0.0,0.33,0.0
3848,1,505,176,1129,0,0,0,0,34,0,0,0,3,0,0,0,0,0,0,-0.9062,0,0,0.0,1.0,0.0,0.0,0.0
11209,1,473,248,3301,0,0,0,0,28,1,1,0,0,0,0,1,0,0,0,-0.3818,0,0,0.0,0.33,0.0,0.33,0.33
1694,0,221,92,570,0,0,0,0,38,0,0,1,2,0,1,0,0,0,0,0.4404,0,0,0.0,0.0,0.5,0.0,0.5
17666,0,4997,3033,25337,0,0,0,0,43,0,9,2,0,0,0,0,0,0,0,-0.891,0,0,0.0,0.0,0.0,0.33,0.67
6489,1,285,197,4565,0,0,0,0,21,0,0,0,3,0,0,0,0,0,0,0.4215,0,0,0.0,0.4,0.0,0.0,0.6
11902,0,339,147,56048,0,1,0,0,46,0,1,0,0,0,1,0,0,0,0,-0.7003,0,0,0.11,0.22,0.0,0.56,0.11
11070,0,4781,2262,76566,0,0,0,0,25,0,9,0,1,0,1,0,1,0,0,0.0,0,0,0.0,0.0,0.0,0.0,1.0
7640,0,324,171,11564,0,2,0,0,48,0,0,0,1,0,0,0,0,0,0,-0.1882,0,0,0.11,0.44,0.11,0.11,0.22
16013,0,40,7,1,0,0,0,0,20,0,0,0,1,0,0,0,0,0,0,0.8126,0,0,0.0,0.0,0.0,0.0,1.0
14412,0,20282,20016,386730,0,2,1,0,43,0,1,0,3,0,0,0,0,0,0,-0.8658,0,0,0.0,0.2,0.0,0.4,0.4
1158,0,1039,1198,3261,0,1,0,0,31,0,3,1,0,0,1,0,0,0,0,-0.0041,0,0,0.0,0.25,0.0,0.5,0.25
