,questionable_domain,user_friends_count,user_followers_count,user_favourites_count,user_verified,description,favorite_count,retweet_count,contains_profanity,word_count,url,mentions,hashtags,mentions_count,hashtags_count,contains_bad_url,contains_good_url,contains_bad_mentions,contains_good_mentions,contains_bad_hashtags,contains_good_hashtags,sentiment_analysis,contains_bad_words,contains_good_words,angry_level,fear_level,happy_level,sad_level,surprise_level
15038,0,730,239,14402,0,realdonaldtrump potus whitehouse cnn air forgotten footage thing happen gop cringe thought 85k tweet 300 golf game take kid family thousand dead american,0,0,0,44,www.washingtonpost.com,"['realDonaldTrump', 'POTUS', 'WhiteHouse', 'CNN', 'GOP']",[],5,0,0,0,0,0,0,0,-0.7351,0,1,0.2,0.0,0.2,0.0,0.6
10480,1,10638,9668,22,0,vega columnist ran test county official accepted fake signature 8 different ballot zero hedge,0,0,0,20,www.zerohedge.com,[],[],0,0,0,0,0,0,0,0,-0.25,0,1,0.0,0.33,0.0,0.33,0.33
17099,1,257,536,1367,0,expectedly trump counting finish gaslighting actualize dream wont leave civil start tell adviser hell refuse leave white house january 20,0,0,0,39,www.dailymail.co.uk,[],[],0,0,0,0,0,0,0,0,-0.6709,0,1,0.0,0.4,0.0,0.4,0.2
11776,0,925,382,147279,0,he like cage animal know criminal charge loses presidential protection nothing,0,0,0,24,apnews.com,[],[],0,0,0,1,0,0,0,0,-0.4939,0,1,0.0,0.0,0.33,0.67,0.0
11688,0,3781,3923,146,0,gop turn attention georgia wcontrol senate stake marcorubio amp jonallendc whugh larryelder exodus twitter mrandyngo wlarry attack trump supporter radiotalkermike talk medium townhallreview whughhewitt,1,3,0,36,townhallreview.com,"['marcorubio', 'jonallendc', 'larryelder', 'MrAndyNgo', 'radiotalkermike', 'TownhallReview', 'hughhewitt']","['Georgia', 'Senate']",7,2,0,1,0,0,0,0,-0.25,0,1,0.0,0.25,0.0,0.25,0.5
7105,0,991,146600,22033,1,bidens stand florida wisconsin pennsylvania roughly two point large clinton lead trump point depend poll combine,47,10,0,28,www.washingtonpost.com,[],[],0,0,0,0,0,0,0,0,0.0,0,1,0.0,0.25,0.0,0.0,0.75
15593,0,837,415,6397,0,roddmartin thats order plan ask american happens get news newsmax contributor,1,0,0,26,www.cbsnews.com,['RodDMartin'],[],1,0,0,0,0,0,0,0,0.0,0,1,0.0,1.0,0.0,0.0,0.0
8291,0,266,67,909,0,via nytimes grateful alive witness moment powerful message entire nation next generation thank kamalaharris,1,1,0,27,www.nytimes.com,"['nytimes', 'KamalaHarris']",[],2,0,0,0,0,1,0,0,0.872,0,1,0.0,0.67,0.33,0.0,0.0
9937,1,742,673,72519,0,shock exclusive caught pennsylvania result show statistically impossible pattern behind bidens steal caught via gatewaypundit,0,0,0,21,www.thegatewaypundit.com,['gatewaypundit'],[],1,0,0,0,1,0,0,0,-0.6486,0,1,0.0,0.0,0.0,0.33,0.67
3832,0,1960,510,1704,0,go blame russia right classic fbi investigate whether email part foreign intelligence operation follow washington post report giuliani target russian intelligence,0,0,0,41,www.businessinsider.com,[],[],0,0,0,0,0,0,0,0,0.5859,0,1,0.0,1.0,0.0,0.0,0.0
1256,0,147,228,1358,0,watch vicepresidential debate tune tonight watch abc cbs nbc cnn cspan fox news msnbc trump twitter uspoli entertainment comedy vpdebate,0,1,0,35,www.nytimes.com,[],"['Trump', 'USpoli', 'Entertainment', 'Comedy', 'VPDebate']",0,5,0,0,0,0,0,0,0.6486,0,1,0.0,0.0,0.0,0.4,0.6
16800,0,509,254,872,0,realdonaldtrump case didnt get memo electoral college result confirm joe biden next president,44,1,0,20,news.yahoo.com,['realDonaldTrump'],[],1,0,0,1,0,0,0,0,0.0,0,1,0.0,1.0,0.0,0.0,0.0
13096,0,4426,4658,350967,0,noknownby repbeatty andrew mccabe decade experience successfully break russian organize crime amp money laundering racket mystery republican hate amp try destroy source propublica,0,0,0,36,www.propublica.org,"['NoKnownby', 'RepBeatty']",[],2,0,0,0,0,0,0,0,-0.8176,0,1,0.0,0.33,0.17,0.33,0.17
6038,0,2119,634,2206,0,hey waltdisneyworld dont forget thank governor rondesantisfl really entire gop good business wdw never many talented dedicate people,0,0,0,37,www.orlandosentinel.com,"['WaltDisneyWorld', 'RonDeSantisFL', 'GOP']",[],3,0,0,0,0,0,0,0,0.0046,0,1,0.17,0.33,0.17,0.0,0.33
4386,0,180,8,17778,0,lesley stahl target trump antimedia campaign gop best brightest realdonaldtrump flotus bebest inept foxnews vp gop senatemajldr gopleader lindseygrahamsc johncornyn sentedcruz repmccaul senatorburr,0,0,0,32,www.usatoday.com,"['realDonaldTrump', 'FLOTUS', 'FoxNews', 'VP', 'GOP', 'SenateMajLdr', 'GOPLeader', 'LindseyGrahamSC', 'JohnCornyn', 'SenTedCruz', 'RepMcCaul', 'SenatorBurr']",['BeBest'],12,1,0,0,0,0,0,0,0.8481,0,1,0.0,0.33,0.0,0.0,0.67
15388,0,824,170,5725,0,opinion much tune trump ignore luxury yet afford washington post delude evil make little difference matter impact trump word trump republican election2020,0,0,0,48,www.washingtonpost.com,[],"['Trump', 'Republicans', 'Election2020']",0,3,0,0,0,0,0,0,-0.7951,0,1,0.25,0.25,0.0,0.12,0.38
12542,1,1954,4199,2732,1,bad idea sophomoric public message could pay operative infiltrate amp sabotage guy would earn money republican dont ever listen person vote trump lawyer suggests republican vote,1,0,0,45,www.dailymail.co.uk,[],[],0,0,0,0,0,0,0,0,-0.8074,0,1,0.0,0.25,0.0,0.25,0.5
12222,0,2186,1988,94,0,trump plan seek vengeance believe betrayed group include fox news channel trump long praise sycophantic coverage program seek punish,0,0,0,40,www.washingtonpost.com,[],[],0,0,0,0,0,0,0,0,-0.5859,0,1,0.0,0.33,0.0,0.17,0.5
13072,0,6984,3754871,2781,1,trump announce pardon widely expect twitter wipe felony conviction flynns record congratulation gen flynn wonderful family trump tweet know truly fantastic thanksgiving,14,2,0,40,www.latimes.com,[],[],0,0,0,0,0,0,0,0,0.9169,0,1,0.0,0.0,0.25,0.25,0.5
13176,1,65,78,16,0,break kraken release attorney sidney powell file 104 page bombshell complaint massive fraud georgia election update michigan via gatewaypundit,1,1,0,24,www.thegatewaypundit.com,['gatewaypundit'],[],1,0,0,0,1,0,0,0,-0.7184,0,1,0.0,0.0,0.0,0.33,0.67
11855,1,2065,2687,2136,0,leak email allegedly maricopa election office found issue sharpy say use election day anyway via nationalfile,8,3,0,21,nationalfile.com,['nationalfile'],[],1,0,1,0,0,0,0,0,-0.34,0,1,0.0,0.0,0.5,0.0,0.5
256,0,2,11,29,0,realdonaldtrump apt believe mentally sociopathic mind believe say syphilitic ever doubt hitlergoebbels insane youre different dangerous usa world gop trumplied200kamericansdied,0,0,0,38,news.google.com,"['realDonaldTrump', 'GOP']",['TrumpLied200KAmericansdied'],2,1,0,1,0,0,0,0,-0.8074,0,1,0.0,0.43,0.0,0.0,0.57
8426,0,787,893,13462,0,there bit tire self pity dont get people attack aoc basic stuff learn use tech social medium cultivate base shes argue competence socialism,11,1,0,41,www.nytimes.com,['AOC'],[],1,0,0,0,0,0,0,0,-0.2607,0,1,0.17,0.5,0.0,0.33,0.0
16790,0,32428,31214,2643,0,new york time break news track electoral college voting today formalize joe bidens victory georgia arizona key swing state cast vote,1,0,0,34,www.nytimes.com,[],[],0,0,0,0,0,0,0,0,0.0,0,1,0.0,0.4,0.0,0.4,0.2
6066,0,56,5,1537,0,nmepanda berniesanders kamalaharris aijenpoo marykayhenry fairly certain know finance wealth good luck,0,0,0,22,www.marketwatch.com,"['NMEPanda', 'BernieSanders', 'KamalaHarris', 'aijenpoo', 'MaryKayHenry']",[],5,0,0,0,0,0,0,0,0.8807,0,1,0.0,0.33,0.67,0.0,0.0
11553,0,1089,161,8814,0,trump invite michigan republican leader meet white house escalates attempt overturn election result tom hamburger kayla ruble david fahrenthold josh dawsey,0,0,0,32,www.washingtonpost.com,[],[],0,0,0,0,0,0,0,0,0.1531,0,1,0.0,0.5,0.0,0.25,0.25
12472,0,40,3,130,0,opinion great election odds new york time many thanks new york time editorial board happy thanksgiving,0,0,0,27,www.nytimes.com,[],[],0,0,0,0,0,0,0,0,0.8934,0,1,0.0,0.0,1.0,0.0,0.0
6138,0,4863,30638,121442,0,dhs trump administration protect american job unfair international competition drawandstrike catesduane rising_serpent almostjingo cosweda tracybeanz carrollquigley1 justtherealnews jtrn,21,11,0,23,www.justtherealnews.com,"['drawandstrike', 'catesduane', 'rising_serpent', 'almostjingo', 'COsweda', 'tracybeanz', 'CarrollQuigley1']","['JustTheRealNews', 'JTRN']",7,2,0,0,0,0,0,0,-0.128,0,1,0.0,0.25,0.25,0.25,0.25
1786,0,4594,9526,112270,0,penny change radically association trump wednesday night show something new disturb penny resemble lowerdecibel trump lie fluency brazenness might shock former moralistic self,7,3,0,40,www.newyorker.com,[],[],0,0,0,0,0,0,0,0,-0.6486,0,1,0.17,0.33,0.0,0.0,0.5
15594,0,799,3131,49331,0,even president desperately demand somebody anybody tell right position authority do blood relative paid lawyer partisan soul mate,1,0,0,37,www.nytimes.com,[],[],0,0,0,0,0,0,0,0,-0.4215,0,1,0.0,0.6,0.0,0.2,0.2
796,0,626,519,10637,0,aww sweet putin send condolence sweetheart trumphascovid new york time world leader roundup putin sends sincere support trump message,0,0,0,29,www.nytimes.com,[],['TrumpHasCovid'],0,1,0,0,0,0,0,0,0.9136,0,1,0.0,0.67,0.0,0.0,0.33
368,0,536,2826,2803,0,many reason need strong epa trump bad country horrendous environment vote2020 nytimes,3,0,0,27,www.nytimes.com,['NYTimes'],['Vote2020'],1,1,0,0,0,0,0,0,-0.6124,0,1,0.0,0.2,0.2,0.4,0.2
2653,0,0,0,1,0,realdonaldtrump gopchairwoman gop thedemocrats speakerpelosi nytimes washingtonpost cnn joebiden whitehouse senmikelee gopchairwoman omg gop total crook liar thief scammer amp plain eff jack ass lock 4 voter fraud,0,0,1,32,www.washingtonpost.com,"['realDonaldTrump', 'GOPChairwoman', 'GOP', 'TheDemocrats', 'SpeakerPelosi', 'nytimes', 'washingtonpost', 'CNN', 'JoeBiden', 'WhiteHouse', 'SenMikeLee', 'GOPChairwoman']",[],12,0,0,0,0,1,0,0,-0.9325,0,1,0.2,0.2,0.0,0.4,0.2
12848,1,1267,1673,4332,0,lin wood request information related water leak state farm center election night use stop vote counting know 来自 gatewaypundit,1,0,0,29,www.thegatewaypundit.com,['gatewaypundit'],[],1,0,0,0,1,0,0,0,-0.5574,0,1,0.0,0.5,0.0,0.5,0.0
16504,0,34101,31748,109069,0,gop r incharge sleep amp allow folk get sick hungry unable pay med rent utility amp etc,0,0,1,28,www.cnn.com,['GOP'],[],1,0,0,0,0,0,0,0,-0.4215,0,1,0.0,0.0,0.0,1.0,0.0
15435,1,164,91,5690,0,joe make slipup state kamala difference opinion hell get sick resign u feel remove resign shortly take office take office let hope,0,0,0,44,parler.com,[],[],0,0,1,0,0,0,0,0,-0.8689,0,1,0.17,0.17,0.0,0.67,0.0
16259,0,441,149,53364,0,trump loss arizona state republican hurl insult another gop cant seem muster maturity necessary accept longer majority descent childish insult mimic trump tantrum,1,0,0,40,www.nytimes.com,['GOP'],[],1,0,0,0,0,0,0,0,-0.8834,0,1,0.0,0.0,0.0,0.5,0.5
3815,0,478,1405,4299,0,grown numb corruption plain stupidity evil realdonaldtrump piece amy_siskind grim reminder amy siskinds list norm president trump abandon washington post,1,0,0,37,www.washingtonpost.com,"['realDonaldTrump', 'Amy_Siskind']",[],2,0,0,0,0,0,0,0,-0.946,0,1,0.0,0.4,0.0,0.2,0.4
7806,0,805,105,1135,0,easy uptodate guide nytelections hope american win result 2020 live presidential map new york time,0,0,0,24,www.nytimes.com,['nytelections'],[],1,0,0,0,0,0,0,0,0.8625,0,1,0.0,0.5,0.0,0.0,0.5
10567,0,2133,591525,17744,1,obama surprised somebody like trump could get traction political life he symptom much accelerant go rightwing populist country would expect somebody little appeal,2269,124,0,46,www.theatlantic.com,[],[],0,0,0,0,0,0,0,0,0.5267,0,1,0.0,0.4,0.2,0.0,0.4
2132,0,1176,428,27871,0,coronavirus donald trump hold rally amid covid test secrecy even may public health hazard,0,0,0,22,news.sky.com,[],[],0,0,0,1,0,0,0,0,0.0,0,1,0.0,0.75,0.0,0.0,0.25
