,questionable_domain,user_friends_count,user_followers_count,user_favourites_count,user_verified,favorite_count,retweet_count,contains_profanity,word_count,mentions_count,hashtags_count,contains_bad_url,contains_good_url,contains_bad_mentions,contains_good_mentions,contains_bad_hashtags,contains_good_hashtags,sentiment_analysis
796,0,626,519,10637,0,0,0,0,29,0,1,0,0,0,0,0,0,0.9136
368,0,536,2826,2803,0,3,0,0,27,1,1,0,0,0,0,0,0,-0.6124
2653,0,0,0,1,0,0,0,1,32,12,0,0,0,0,1,0,0,-0.9325
12848,1,1267,1673,4332,0,1,0,0,29,1,0,0,0,1,0,0,0,-0.5574
16504,0,34101,31748,109069,0,0,0,1,28,1,0,0,0,0,0,0,0,-0.4215
15435,1,164,91,5690,0,0,0,0,44,0,0,1,0,0,0,0,0,-0.8689
16259,0,441,149,53364,0,1,0,0,40,1,0,0,0,0,0,0,0,-0.8834
3815,0,478,1405,4299,0,1,0,0,37,2,0,0,0,0,0,0,0,-0.946
7806,0,805,105,1135,0,0,0,0,24,1,0,0,0,0,0,0,0,0.8625
10567,0,2133,591525,17744,1,2269,124,0,46,0,0,0,0,0,0,0,0,0.5267
2132,0,1176,428,27871,0,0,0,0,22,0,0,0,1,0,0,0,0,0.0
16369,0,27,11,1702,0,0,0,0,37,5,0,0,1,0,0,0,0,0.4215
10536,0,1452,183249,10909,1,43,31,0,44,0,0,0,0,0,0,0,0,-0.4019
6034,0,4738,4665,53026,0,0,0,0,34,1,1,0,1,0,0,0,0,-0.5423
10539,0,11040,11085,1960,0,1,1,0,41,0,0,0,0,0,0,0,0,-0.5574
15744,0,1603,702,21108,0,7,1,0,37,3,0,0,0,0,0,0,0,0.1027
8688,0,1648,9919,10234,1,17,2,0,36,2,0,0,0,0,0,0,0,0.8176
4517,0,178,284,3793,0,0,0,0,21,0,0,0,0,0,0,0,0,-0.802
4216,0,224,52,6106,0,0,0,0,37,1,0,0,0,0,0,0,0,0.1027
13639,1,10880,10876,235914,0,5,0,0,24,1,0,0,0,1,0,0,0,0.7717
16503,0,726,277,20961,0,0,0,0,21,0,5,0,0,0,0,0,0,0.0
2745,0,4034,4035,131303,0,1,0,0,23,7,0,0,1,0,0,0,0,0.3612
10834,0,4418,3192,86530,0,1,0,0,45,0,0,0,0,0,0,0,0,0.8126
2722,0,1225,895,15498,0,3,0,0,35,1,0,0,0,0,0,0,0,0.2263
1537,0,40,66,1108,0,0,0,0,28,4,0,0,1,0,0,0,0,-0.7003
8679,1,11006,10823,6,0,0,0,0,20,0,0,0,0,0,0,0,0,-0.6249
10883,0,2069,221,29792,0,0,0,0,37,7,0,0,0,0,0,0,0,-0.8519
11384,0,715,173,28180,0,0,0,0,42,2,0,0,0,0,0,0,0,-0.8402
5034,0,1706,6555,6276,0,1,0,0,24,2,1,0,0,0,1,0,0,0.836
5910,1,805,84,5848,0,0,0,0,29,1,0,0,0,1,0,0,0,-0.666
3835,0,22,4,153,0,1,0,0,30,2,0,0,0,0,0,0,0,-0.4019
15028,1,513,490,450,0,0,0,0,24,1,0,0,0,1,0,0,0,0.3182
16085,0,8434,7766,307497,0,0,0,0,26,1,0,0,1,0,0,0,0,-0.765
17086,0,496,100,2715,0,0,0,0,26,0,0,0,1,0,0,0,0,-0.34
8322,0,2344,47637,519,1,1,1,0,28,0,0,0,1,0,0,0,0,0.0
10981,0,8559,14298,13,0,1,0,0,41,1,3,0,0,0,1,0,0,-0.2732
7833,0,77,1,1477,0,0,0,0,29,2,0,0,0,0,0,0,0,-0.6808
14082,1,1693,1229,5552,0,2,2,0,38,3,3,0,0,0,0,0,0,-0.6908
2000,0,163,82,16714,0,0,0,0,43,1,0,0,0,0,0,0,0,-0.7506
5155,0,524,889,10187,0,0,0,0,38,2,0,0,0,0,0,0,0,0.3182
9536,0,4951,4839,207421,0,0,1,0,38,1,2,0,0,0,1,0,0,-0.8481
12224,1,4262,3808,77360,0,0,0,0,24,1,0,0,0,1,0,0,0,-0.8176
15853,0,83,3,12,0,0,0,0,28,10,0,0,1,0,0,0,0,-0.7579
13255,0,4997,2200,35903,0,0,0,1,33,0,11,0,0,0,0,0,0,-0.5106
177,0,78,616,7553,0,0,0,0,44,3,1,0,0,0,0,0,0,0.1027
16132,0,723,248,8843,0,0,0,0,35,3,0,0,0,0,1,0,0,-0.7096
5283,0,3054,131969,1497,1,61,7,0,21,0,0,0,0,0,0,0,0,-0.4767
10876,0,2815,517,10644,0,0,0,0,43,0,0,0,0,0,0,0,0,-0.4019
9241,0,305,225,242,0,0,0,0,20,0,3,0,0,0,0,0,0,0.0
3616,0,139,76,1185,0,0,0,0,42,1,0,0,0,0,0,0,0,0.6361
7476,0,195,72,1175,0,0,0,1,41,0,0,0,0,0,0,0,0,-0.9313
13524,0,1835,1786,3459,0,0,0,0,35,3,0,0,0,0,1,0,0,0.7269
15389,0,9541,8874,11065,0,1,0,0,42,1,2,0,0,0,0,0,0,-0.8625
11086,0,245,173,1581,0,0,0,0,40,0,2,0,0,0,0,0,0,-0.4019
792,0,313,281,21036,0,0,0,0,20,0,0,0,0,0,0,0,0,0.0
14044,0,239,57,682,0,0,0,0,33,10,0,0,0,0,0,0,0,-0.7906
4514,0,8000,7793,89085,0,0,0,0,31,1,0,0,0,0,0,0,0,-0.9169
16350,1,190,34,954,0,0,0,0,42,2,0,0,0,0,0,0,0,-0.8316
5988,0,535,47,23909,0,0,0,0,39,10,0,0,0,0,1,0,0,-0.296
14259,0,0,34,6209,0,0,0,0,51,1,0,0,1,0,0,0,0,0.0772
7890,0,228,21,2222,0,0,0,1,44,0,2,0,0,0,0,0,0,-0.9363
11844,0,1695,1836,35284,0,0,0,0,23,1,0,0,0,0,0,0,0,-0.4404
10359,1,305,137,31157,0,0,0,0,49,2,0,0,0,0,0,0,0,0.6249
13770,0,571,323,7220,0,0,0,0,44,2,0,0,0,0,0,0,0,-0.9607
13764,0,14,7,1168,0,0,0,0,46,7,0,0,1,0,0,0,0,-0.7698
9176,0,678,609,4833,0,3,0,0,37,2,0,0,0,0,0,0,0,0.8442
5112,0,95,13,17549,0,1,1,0,30,10,0,0,0,0,1,0,0,-0.7845
6952,0,295,728236,236,0,301,109,0,40,0,0,0,0,0,0,0,0,-0.34
15977,0,766,130,20499,0,0,0,0,33,13,3,0,0,0,0,0,0,-0.2263
17423,0,764,839,5682,0,0,0,0,22,2,2,0,0,0,0,0,0,-0.4019
4476,0,734,818,46383,0,0,0,0,36,1,0,0,0,0,0,0,0,0.552
1507,1,1574,766,78863,0,1,0,0,32,0,0,0,0,0,0,0,0,-0.8658
2526,0,2792,516,4862,0,0,0,1,34,2,0,0,0,0,0,0,0,0.0
2394,0,38,3,721,0,0,0,1,43,3,0,0,0,0,1,0,0,-0.9678
3728,1,705,107,1057,0,0,0,0,22,0,0,1,0,0,0,0,0,0.0
16591,0,6557,7286,1931,0,0,0,0,28,1,0,0,0,0,0,0,0,-0.5423
15887,0,725,897,42844,0,0,0,0,48,1,0,0,0,0,0,0,0,-0.6597
2913,0,1017,1106,9174,0,4,1,0,20,1,0,0,0,0,0,0,0,0.3612
2209,0,28,4,3779,0,0,0,0,22,3,0,0,0,0,0,0,0,-0.5859
4643,1,2267,741,3286,0,1,0,0,36,1,0,0,0,0,0,0,0,-0.8481
5441,0,3324,35347,1548,1,29,4,0,41,0,1,0,0,0,0,0,0,0.8555
2305,0,50,22,2261,0,0,0,0,28,5,0,0,0,0,0,0,0,-0.8481
8550,0,2952,5006,29791,0,2,1,0,26,1,0,0,0,0,0,0,0,0.7964
16218,0,826,157,18345,0,1,0,0,33,2,0,0,0,0,1,0,0,-0.802
15107,1,2076,324,46495,0,0,0,0,44,0,1,0,0,0,0,0,0,-0.8271
8523,1,1143,1341,4494,0,2,1,0,40,1,0,0,0,0,0,0,0,0.8126
7292,0,2347,1668,28137,0,0,0,0,29,2,1,0,0,0,0,0,0,-0.7579
15171,0,549,121,1191,0,0,0,0,34,0,0,0,0,0,0,0,0,-0.3818
12573,0,395,121,3029,0,0,0,0,50,4,4,0,0,0,0,0,0,-0.8625
14010,0,8591,14269,13,0,1,0,0,38,2,3,0,0,0,0,0,0,-0.296
12165,0,4642,3295,41878,0,0,0,0,27,0,0,0,0,0,0,0,0,0.7425
3513,0,2135,11708,48733,0,15,6,0,40,0,1,0,1,0,0,0,0,-0.7738
2606,0,5992,10956,44576,0,22,20,0,38,2,1,0,0,0,0,0,0,-0.765
620,0,1200,835,30,0,0,0,0,28,0,5,0,0,0,0,0,0,-0.6597
8416,0,18,7,2441,0,0,0,0,44,1,0,0,0,0,0,0,0,-0.2105
15081,1,17765,18655,126,0,1,0,0,25,1,0,0,0,1,0,0,0,0.3875
396,0,1736,127560,4310,1,197,63,0,30,0,0,0,0,0,0,0,0,0.0258
10486,0,8208,8246,52560,0,1,0,0,33,1,0,0,0,0,0,0,0,-0.1004
7189,0,422,186889,1388,1,33,1,0,39,0,0,0,0,0,0,0,0,0.7351
10024,1,953,2869,2578,0,0,0,0,32,0,0,0,0,0,0,0,0,0.765
1156,0,486,237,158,0,4,1,0,40,3,1,0,0,0,1,0,0,0.9313
5470,0,402,278,4198,0,3,0,0,21,1,0,0,1,0,0,0,0,0.5267
11111,0,4,14,383,0,0,0,1,50,2,1,0,0,0,0,0,0,0.0176
3132,0,14228,15225,449360,0,3,2,0,23,0,0,0,0,0,0,0,0,0.0
4173,0,1067,273,4366,0,0,0,0,29,6,0,0,0,0,1,0,0,-0.4939
3405,0,450,532,17416,0,0,0,0,20,0,1,0,0,0,0,0,0,0.0
12459,0,599,172,21921,0,1,0,0,40,0,0,0,0,0,0,0,0,0.9442
16224,0,3346,1787,12807,0,0,0,0,33,1,0,0,0,0,0,0,0,-0.8689
7059,0,205,67,597,0,0,0,0,20,1,0,0,1,0,0,0,0,0.0
4604,0,5615,8097,17004,0,0,0,0,48,2,2,0,0,0,0,0,1,-0.6705
15079,0,763,69,5288,0,0,0,0,28,8,0,0,0,0,1,0,0,0.0
14819,0,8798,13138,217604,0,0,0,0,25,1,0,0,0,0,0,0,0,-0.6124
8639,0,846,870,26276,0,1,0,0,26,3,0,0,0,0,0,0,0,-0.4404
7955,0,15,2,67,0,0,0,0,24,0,0,0,0,0,0,0,0,-0.9413
1966,0,965,728,46936,0,0,0,1,41,3,1,0,0,0,0,0,0,-0.8316
9925,1,1874,1169,4121,0,1,0,0,21,1,0,0,0,1,0,0,0,-0.6486
11589,0,41,385,1370,0,1,0,0,24,0,0,0,0,0,0,0,0,0.0
13846,0,4997,2411,49787,0,0,0,0,30,6,0,0,1,0,0,0,0,-0.296
801,0,741,348,34957,0,0,0,0,25,0,0,0,0,0,0,0,0,-0.7964
1649,0,436,97407,132,1,12,3,0,41,0,0,0,0,0,0,0,0,-0.3818
8205,0,168883,168101,42409,0,9,1,0,28,2,1,0,0,0,0,0,0,-0.8807
6127,0,38,4,721,0,0,0,0,51,7,0,0,0,0,0,0,0,-0.765
7910,0,322,94,687,0,0,0,0,28,3,0,0,0,0,0,0,0,0.0
17764,0,2037,6542,12235,0,12,1,0,50,1,0,0,0,0,0,0,0,0.0
2347,0,3285,2899,1407,0,1,0,0,24,2,3,0,0,0,0,0,0,-0.6486
8801,0,826,1902,4172,0,0,0,0,22,0,0,0,0,0,0,0,0,-0.4939
8272,1,881,4185,218604,0,1,0,0,28,0,0,0,0,0,0,0,0,0.8885
13356,1,3158,3153,9124,0,0,0,0,22,0,0,0,0,0,0,0,0,-0.7184
6304,0,6877,91770,5160,1,2232,1147,0,31,2,0,0,0,0,1,0,0,-0.2732
7466,0,324,779,4177,0,11,4,0,40,1,4,0,0,0,1,0,0,0.4939
11408,0,1209,729,73818,0,0,0,0,27,2,0,0,1,0,0,0,0,-0.5994
7303,0,7648,385605,3734,1,19,0,0,28,0,0,0,0,0,0,0,0,-0.296
10523,1,934,100,9581,0,0,0,0,20,1,0,0,0,1,0,0,0,0.0
1910,1,15,19,6,0,2,2,0,51,12,1,0,1,0,0,0,0,-0.7269
9702,0,402,115,10874,0,0,0,0,26,1,0,0,0,0,0,0,0,-0.5423
4796,1,913,718,19349,0,0,0,0,31,1,4,0,0,0,0,0,0,-0.8074
12479,0,2206,1080,51650,0,0,0,0,43,5,4,0,0,0,0,0,1,-0.6369
966,0,516,92,3506,0,0,1,0,28,13,3,0,0,0,0,0,0,0.0
4175,0,4935,2589,226641,0,0,1,0,29,9,5,0,1,0,0,0,1,0.0
10984,0,861,83,2842,0,0,0,0,29,2,0,0,1,0,0,0,0,-0.5267
5410,1,2027,3496,54696,0,7,7,0,22,0,0,1,0,0,0,0,0,-0.3818
14356,1,76939,83464,275,0,2,0,0,29,1,0,0,0,0,0,0,0,-0.6249
11562,0,91,23,304,0,0,0,0,21,0,0,0,0,0,0,0,0,0.9287
8181,0,14610,13521,39151,0,0,0,0,23,0,0,0,0,0,0,0,0,0.802
12482,1,312,415,20212,0,0,0,0,48,4,0,0,0,0,0,0,0,-0.7783
4471,1,4826,3256,44,0,1,0,1,22,1,1,0,0,1,0,0,0,-0.9118
1899,1,10997,11288,18150,0,0,1,0,26,1,0,0,0,1,0,0,0,-0.6597
5623,1,367,42738,3012,1,13,10,0,30,0,0,0,0,0,0,0,0,0.8316
3971,0,258,251,64373,0,0,0,0,23,3,2,0,1,0,0,0,0,-0.34
3974,0,11762,12588,37865,0,253,159,0,38,0,5,0,0,0,0,0,0,0.8625
5119,0,50,112,27301,0,0,0,0,39,0,0,0,0,0,0,0,0,-0.7003
12022,0,777,617,3546,0,0,0,0,26,1,1,0,0,0,0,0,0,-0.6908
4814,0,399,447,20713,0,0,0,0,27,1,0,0,0,0,0,0,0,-0.1531
4565,0,1992,1229,6662,0,0,0,0,28,15,0,0,0,0,1,0,0,0.0
9812,0,2163,3062,84770,0,2,0,0,41,4,0,0,0,0,0,0,0,-0.3612
17306,1,983,799,31691,0,1,1,0,33,25,0,0,0,1,0,0,0,0.0
2459,0,261,718,247,0,1,1,0,37,0,0,0,0,0,0,0,0,-0.91
5218,0,4944,850,1344,0,0,0,0,44,0,0,0,0,0,0,0,0,-0.8074
11676,0,18158,20337,142428,0,4,3,0,40,1,0,0,0,0,0,0,0,0.4404
16341,0,181,7,21661,0,0,0,0,30,15,0,0,0,0,0,0,0,0.3612
16424,0,9336,8487,407035,0,0,0,0,49,1,0,0,0,0,0,0,0,-0.7783
14318,0,0,1,479,0,0,0,0,26,2,0,0,0,0,0,0,0,0.7096
129,0,0,0,0,0,0,0,0,35,1,0,0,1,0,0,0,0,-0.8957
11507,0,10080,9519,10518,0,2,0,0,30,2,0,0,1,0,0,0,0,0.0516
15677,0,1364,429,39027,0,0,0,0,26,1,1,0,0,0,0,0,0,-0.8225
12478,1,185,202,10553,0,3,2,0,54,50,0,0,0,0,0,0,0,0.0
14485,0,2900,956,25850,0,0,0,0,26,2,0,0,0,0,0,0,0,-0.5849
1149,0,40,61,24,0,0,0,0,38,1,0,0,0,0,0,0,0,-0.7469
6268,0,440,34121,31,0,8,2,0,26,0,0,0,1,0,0,0,0,0.0
14846,0,300,105,53904,0,0,0,0,45,5,2,0,0,0,1,0,0,-0.7184
8367,0,1130,1387,7532,0,7,2,0,34,2,0,0,0,0,1,0,0,0.891
9930,0,169,68,3610,0,1,0,0,37,0,0,0,0,0,0,0,0,0.6312
2870,1,1721,274,5427,0,1,0,0,22,0,0,1,0,0,0,0,0,-0.3612
12492,0,432,583,1286,0,0,0,0,34,0,0,0,0,0,0,0,0,-0.4939
11368,0,357,232,1825,0,0,0,0,38,16,0,0,0,0,0,0,0,-0.743
16849,0,280,297,79791,0,0,0,0,30,1,4,0,0,0,1,0,0,-0.128
9983,0,38,2,3,0,0,0,0,41,0,0,0,1,0,0,0,0,-0.6927
1084,0,98,33,1188,0,0,0,0,60,44,2,0,0,0,0,0,0,0.3804
4846,1,415,170,2155,0,1,0,0,21,0,0,0,0,0,0,0,0,-0.886
11366,0,357,232,1825,0,0,0,0,38,16,0,0,0,0,0,0,0,-0.743
12525,0,162,13,2174,0,1,0,0,42,1,2,0,1,0,0,0,0,0.8625
9233,0,931,52,4828,0,0,0,0,31,11,6,0,0,0,0,0,0,0.0
15937,0,1817,1860,97089,0,0,0,0,25,0,0,0,0,0,0,0,0,0.0772
57,0,135,41,509,0,0,0,0,38,6,0,0,1,0,0,0,0,0.5574
10929,1,4594,4182,24054,0,3,3,0,21,1,0,0,0,1,0,0,0,-0.6486
3613,1,126,8,6,0,0,0,0,27,3,0,1,0,0,0,0,0,-0.3612
14817,0,12,5,131,0,1,0,0,25,1,0,0,0,0,1,0,0,0.0
11147,0,1017,383,22315,0,2,0,0,41,0,0,0,0,0,0,0,0,-0.3182
13612,1,3089,2904,1210,0,0,0,0,26,1,0,0,0,0,0,0,0,-0.743
14842,0,4625,3627,67355,0,0,0,0,33,3,0,0,0,0,1,0,0,0.7884
3161,0,301,92,22035,0,0,0,0,26,0,1,0,0,0,0,0,1,-0.5423
15577,0,181,30,954,0,0,0,0,46,1,0,0,0,0,0,0,0,-0.9153
13828,1,1975,663,5550,0,0,0,0,28,1,0,0,0,1,0,0,0,0.8834
11655,1,766,762,20787,0,0,0,0,38,5,0,1,0,0,0,0,0,-0.9246
7409,1,9786,10556,87166,0,0,0,0,40,0,2,0,0,0,0,0,0,-0.5994
10555,0,161,189,3723,0,0,0,0,32,1,0,0,0,0,0,0,0,-0.8074
16444,0,1499,1337,1093,0,0,0,0,43,1,1,0,0,0,0,0,0,-0.7717
1555,0,2833,1157,10401,0,1,0,0,28,2,1,0,0,0,0,0,0,-0.7003
13745,1,148,78,2862,0,0,0,0,40,0,0,0,0,0,0,0,0,0.7783
6366,0,2331,1843,11037,0,0,0,0,23,8,0,0,0,0,0,0,0,-0.4404
3461,0,2013,2341,4275,0,4,3,0,40,0,1,0,1,0,0,0,0,-0.7738
11029,0,513,497,45693,0,2,1,0,41,1,0,0,0,0,0,0,0,-0.9477
3322,0,344,92,1219,0,0,0,1,34,2,1,0,0,0,0,0,0,-0.9337
619,0,584,820,660,0,0,0,0,23,1,2,0,0,0,0,0,0,-0.7351
10620,0,627,154,5332,0,0,0,1,44,1,0,0,1,0,0,0,0,-0.1531
7638,1,659,105,2089,0,0,0,0,25,6,10,0,0,0,0,0,0,0.0
7030,0,285913,307468,88731,0,4,2,0,38,0,0,0,0,0,0,0,0,0.2354
10428,0,4365,1637,28524,0,0,0,0,39,0,0,0,0,0,0,0,0,0.7717
7658,0,150,479,10597,0,0,0,0,40,5,2,0,0,0,0,0,0,0.7003
483,0,403,15026,3179,0,8,2,0,34,0,0,0,0,0,0,0,0,0.872
12774,0,1710,1999132,1266,1,176,38,0,35,0,0,0,0,0,0,0,0,0.946
17327,0,2190,1427,10011,0,0,0,0,22,12,0,0,0,0,1,0,0,0.0
15618,0,4727,3901,17389,0,0,0,0,32,0,0,0,0,0,0,0,0,-0.3182
9531,1,1011,229,5612,0,0,0,0,26,1,0,0,0,1,0,0,0,0.0
6528,1,1910,1710,12764,0,2,0,0,23,1,0,0,0,1,0,0,0,0.4215
6252,1,4618,2190,20163,0,0,0,0,41,1,0,1,0,0,0,0,0,0.0
15244,0,0,14,244,0,0,0,0,22,1,0,0,0,0,0,0,0,0.0
15804,0,675,67,20562,0,2,0,0,32,2,0,0,1,0,0,0,0,-0.34
7591,1,43698,64204,80631,0,2,3,0,27,1,0,0,0,1,0,0,0,0.6808
8217,0,789,467,5522,0,0,0,0,48,0,3,0,0,0,0,0,0,-0.5859
4396,0,714,814,7787,0,1,0,0,37,0,0,0,0,0,0,0,0,-0.4767
5291,0,2419,947,8644,0,0,0,0,23,1,1,0,0,0,0,0,0,-0.296
8808,0,459,1619,6570,0,4,1,0,32,0,0,0,0,0,0,0,0,-0.0516
15858,0,598,52753,8,1,3,4,0,38,0,0,0,0,0,0,0,0,0.6249
7174,0,1510,1220,64071,0,0,0,1,27,2,2,0,0,0,0,0,0,0.0
1338,0,244,14187,254,1,0,0,0,31,0,0,0,1,0,0,0,0,0.6249
4712,0,1176,47429,14737,1,15,12,0,46,1,0,0,0,0,0,0,0,0.7184
757,0,288,10,2320,0,0,0,0,26,10,0,0,1,0,1,0,0,-0.4588
13683,0,4186,4207,22138,0,1,1,0,34,1,1,0,0,0,0,0,0,-0.4767
14916,0,421,560,2161,0,1,0,0,23,1,0,0,0,0,0,0,0,-0.5719
5822,0,82,23489,412,0,1,0,0,21,1,0,0,0,0,1,0,0,0.4588
3991,0,965,611,10533,0,10,1,0,25,0,0,0,0,0,0,0,0,0.3794
3373,0,5064,4680,79029,0,2,0,0,32,1,1,0,0,0,1,0,0,-0.6249
